type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,7540.3,C3141592653,98000,90459.7,M1233211234,0,0,FALSE
DEBIT,4890.55,C2718281828,5000,109.45,C1123581321,41000,45890.55,TRUE
TRANSFER,138900,C1618033988,140000,1100,C9988776655,33000,171900,TRUE
CASH_OUT,62040.25,C1414213562,63000,959.75,C8877665544,10400,72440.25,TRUE
PAYMENT,1890.8,C1732050807,2000,109.2,M7766554433,0,0,FALSE
DEBIT,5225.99,C2236067977,5800,574.01,C7766889900,29700,34925.99,FALSE
TRANSFER,76000.6,C2449489742,76500,499.4,C6655443322,22100,98100.6,TRUE
PAYMENT,940.45,C2645751311,1000,59.55,M5544332211,0,0,FALSE
PAYMENT,3095,C2828427124,3500,405,M4433221100,0,0,TRUE
TRANSFER,111110.11,C2997924580,112000,889.89,C3322110099,45500,156610.11,TRUE
