type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,7390.8,C3120987654,90000,82609.2,M5566778899,0,0,TRUE
TRANSFER,134500.9,C4231098765,135000,499.1,C6677889900,37500,172000.9,FALSE
DEBIT,4920.25,C5342109876,6000,1079.75,C7788990011,28000,32920.25,TRUE
PAYMENT,880,C6453210987,900,20,M8899001122,0,0,FALSE
CASH_OUT,70320.45,C7564321098,71000,679.55,C9900112233,8600,78920.45,TRUE
DEBIT,7233.33,C8675432109,8700,1466.67,C1011223344,26500,33733.33,FALSE
TRANSFER,65210,C9786543210,70000,4790,C2122334455,9200,74410,TRUE
PAYMENT,1287.75,C0897654321,1300,12.25,M3233445566,0,0,FALSE
PAYMENT,3490.6,C1908765432,5000,1509.4,M4344556677,0,0,TRUE
TRANSFER,98000,C2019876543,100000,2000,C5455667788,47500,145500,FALSE
