type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,7235.5,C1234567890,245000,237764.5,M1234567891,0,0,FALSE
DEBIT,8540.3,C2345678901,13500,4960.7,C3456789012,60000,48459.7,TRUE
PAYMENT,4032.12,C3456789012,19832,15800.88,M4567890123,0,0,FALSE
CASH_OUT,109874.23,C4567890123,120000,10125.77,C5678901234,3212,112086.55,TRUE
PAYMENT,991,C5678901234,5000,4009,M6789012345,0,0,FALSE
TRANSFER,50123.45,C6789012345,60123.45,10000,C7890123456,18000,68123.45,FALSE
DEBIT,11654.9,C7890123456,19000,7345.1,C8901234567,82000,70345.1,TRUE
PAYMENT,3087.75,C8901234567,3087.75,0,M9012345678,0,0,FALSE
TRANSFER,97845.5,C9012345678,100000,2154.5,C0123456789,32450,130295.5,TRUE
PAYMENT,2045.6,C0123456789,5000,2954.4,M1098765432,0,0,FALSE
