type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,8420.75,C3123456789,98000,89579.25,M9988776655,0,0,FALSE
DEBIT,5200.6,C4234567890,6200,999.4,C7766554433,34500,39700.6,TRUE
TRANSFER,126000,C5345678901,128500,2500,C6655443322,105000,231000,FALSE
CASH_OUT,45500.25,C6456789012,46000,499.75,C5544332211,10200,55700.25,TRUE
PAYMENT,3920.9,C7567890123,4000,79.1,M4433221100,0,0,TRUE
DEBIT,6800.33,C8678901234,9000,2199.67,C3322110099,33000,39800.33,FALSE
PAYMENT,2499.99,C9789012345,3000,500.01,M2211009988,0,0,FALSE
TRANSFER,87500.45,C0890123456,88000,499.55,C1100998877,24500,112000.45,TRUE
PAYMENT,1345.6,C1901234567,1500,154.4,M0099887766,0,0,TRUE
PAYMENT,5980.1,C2012345678,6000,19.9,M9988775544,0,0,FALSE
