type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,4920.45,C1239876543,12000,7079.55,M1122446688,0,0,TRUE
DEBIT,8150,C2341987654,8200,50,C2233445566,31000,39150,TRUE
TRANSFER,101230.75,C3452198765,105000,3769.25,C3344556677,59000,160230.75,FALSE
CASH_OUT,58300.3,C4563219876,59000,699.7,C4455667788,9800,68100.3,TRUE
PAYMENT,2310.1,C5674321987,3000,689.9,M5566778899,0,0,FALSE
DEBIT,6700.25,C6785432198,7500,799.75,C6677889900,20500,27200.25,FALSE
TRANSFER,43000.4,C7896543219,43500,499.6,C7788990011,15000,58000.4,TRUE
PAYMENT,1350,C8907654320,1500,150,M8899001122,0,0,TRUE
PAYMENT,8760.9,C9018765431,8800,39.1,M9900112233,0,0,FALSE
TRANSFER,120450,C0129876542,125000,4550,C1011223344,67500,187950,TRUE
