type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,6120.85,C3192837461,94000,87879.15,M1122334455,0,0,TRUE
TRANSFER,150230.6,C2093847562,152000,1769.4,C5566778899,45000,195230.6,FALSE
DEBIT,7820,C4092837463,9020,1200,C6677889900,15000,22820,TRUE
PAYMENT,2030.1,C5092837464,2100,69.9,M3344556677,0,0,TRUE
CASH_OUT,94500.75,C6092837465,95000,499.25,C7788990011,7500,102000.75,TRUE
PAYMENT,1135.5,C7092837466,2600,1464.5,M9988776655,0,0,FALSE
DEBIT,4500.33,C8092837467,6000,1499.67,C8899001122,20000,24500.33,FALSE
TRANSFER,34567.89,C9092837468,35000,432.11,C9900112233,17000,51567.89,TRUE
PAYMENT,789.45,C1192837469,800,10.55,M7766554433,0,0,FALSE
PAYMENT,6723,C2292837470,10000,3277,M6655443322,0,0,TRUE
