type,amount,nameOrig,oldbalanceOrg,newbalanceOrig,nameDest,oldbalanceDest,newbalanceDest,Report
PAYMENT,9839.64,C1231006815,170136,160296.36,M1979787155,0,0,FALSE
PAYMENT,1864.28,C1666544295,21249,19384.72,M2044282225,0,0,FALSE
TRANSFER,181,C1305486145,181,0,C553264065,0,0,FALSE
CASH_OUT,181,C840083671,181,0,C38997010,21182,0,FALSE
PAYMENT,11668.14,C2048537720,41554,29885.86,M1230701703,0,0,FALSE
PAYMENT,1684.81,C1481594086,297,0,M1569435561,0,0,FALSE
DEBIT,5758.59,C1466917878,32604,26845.41,C1297685781,209699,16997.22,FALSE
CASH_OUT,110414.71,C768216420,26845.41,0,C1509514333,288800,2415.16,FALSE
TRANSFER,62610.8,C1976401987,79114,16503.2,C1937962514,517,8383.29,FALSE
DEBIT,5529.13,C867288517,8547,3017.87,C242131142,10206,0,TRUE
CASH_OUT,82940.31,C1528834618,3017.87,0,C476800120,132372,49864.36,TRUE
CASH_OUT,28404.6,C2091072548,0,0,C1282788025,51744,0,FALSE
TRANSFER,181,C1305486145,181,0,C553264065,0,0,FALSE
CASH_OUT,181,C840083671,181,0,C38997010,21182,0,FALSE
TRANSFER,2806,C1420196421,2806,0,C972765878,0,0,FALSE
CASH_OUT,2806,C2101527076,2806,0,C1007251739,26202,0,FALSE
TRANSFER,20128,C137533655,20128,0,C1848415041,0,0,FALSE
CASH_OUT,20128,C1118430673,20128,0,C339924917,6268,12145.85,FALSE
CASH_OUT,416001.33,C749981943,0,0,C667346055,102,9291619.62,FALSE
TRANSFER,1277212.77,C1334405552,1277212.77,0,C431687661,0,0,FALSE
CASH_OUT,1277212.77,C467632528,1277212.77,0,C716083600,0,2444985.19,TRUE
TRANSFER,35063.63,C1364127192,35063.63,0,C1136419747,0,0,TRUE
